ue_id,slice_type,ru_choice,num_rb_alloc,max_rb,power_alloc_w,power_per_rb_w,snr_linear,snr_db,throughput_mbps,r_min_mbps,ru_power_remaining_w,max_power_effective_w,max_snr_db,max_throughput_mbps,success,reason
0,eMBB,4,6,10,1.995262,0.3325436666666667,38565.451646349116,45.86198421822453,32.90772699654477,50.0,1.9952631496887892,1.9952631496887892,43.643499224506016,52.193228292939416,False,insufficient_throughput (32907727.00 < 50000000.00)
15,eMBB,4,8,10,1.995262,0.24940775,18592.704991831273,42.69342578452133,40.84567675388607,50.0,1.9952631496887892,1.9952631496887892,41.72432815688582,49.898227624210165,False,insufficient_throughput (40845676.75 < 50000000.00)
27,uRLLC,0,8,10,15.962099,1.995262375,482454.99322871026,56.834568055469745,54.37450894677881,5.0,15.96209914968879,15.96209914968879,55.86546796611629,66.80919778186633,True,"(np.float64(54374508.94677881), 3.9045910907504146e-05, np.float64(293622348.3126056), np.float64(176173408.98756337))"
44,eMBB,2,9,10,1.995262,0.2216957777777778,6843.942972174622,38.353063820828176,41.280265893234294,50.0,1.9952621496887895,1.9952621496887895,37.89548924103835,45.319835663292395,False,insufficient_throughput (41280265.89 < 50000000.00)
24,uRLLC,5,9,10,7.981049,0.8867832222222222,25005.516656619155,43.980358322410424,47.336453419044794,5.0,11.971574149688792,11.971574149688792,45.28369624304901,54.154659655680355,True,"(np.float64(47336453.41904479), 4.795706708771842e-05, np.float64(255616848.4628419), np.float64(153370109.07770514))"
47,eMBB,0,9,10,1.995262,0.2216957777777778,31117.932749531446,44.930107378905284,48.35863607771957,50.0,1.9952621496887895,1.9952621496887895,44.472532799115456,53.18462566160022,False,insufficient_throughput (48358636.08 < 50000000.00)
48,uRLLC,2,7,10,1.995262,0.2850374285714286,45836.095496484224,46.61207615579035,39.02025458277435,5.0,1.9952621496887895,1.9952621496887895,45.06305688174984,53.89080636025263,True,"(np.float64(39020254.58277435), 5.433883152932423e-05, np.float64(210709374.7469815), np.float64(126425624.8481889))"
2,eMBB,4,7,10,1.995262,0.2850374285714286,27078.069679321525,44.32617701464388,37.1067241973415,50.0,1.9952631496887892,1.9952631496887892,42.777159917231515,51.157227764862306,False,insufficient_throughput (37106724.20 < 50000000.00)
28,eMBB,3,7,10,1.995262,0.2850374285714286,37856.69237734007,45.78142666019169,38.32491311088897,50.0,7.981049149688792,7.981049149688792,50.25300759922529,60.097325004258586,False,insufficient_throughput (38324913.11 < 50000000.00)
45,eMBB,3,7,10,3.990525,0.570075,72327.70239764839,48.593046692741986,40.67854723544706,50.0,7.981049149688792,7.981049149688792,50.054326586821475,59.85972584452108,False,insufficient_throughput (40678547.24 < 50000000.00)
